Index,country,code,Year,Children <=15,Working Population 16 - 55,Elder Population > 55,Total Population,Working Population
1,Burundi,108,2020,5645,5578,668,11891,0.469094273
2,Burundi,108,2021,5797,5767,691,12255,0.470583435
3,Burundi,108,2022,5946,5965,714,12625,0.472475248
4,Burundi,108,2023,6091,6172,737,12999,0.474805754
5,Burundi,108,2024,6228,6391,759,13379,0.477688915
6,Burundi,108,2025,6359,6623,782,13764,0.481182796
7,Burundi,108,2026,6489,6863,802,14155,0.484846344
8,Burundi,108,2027,6613,7115,823,14551,0.48896983
9,Burundi,108,2028,6729,7380,843,14952,0.493579454
10,Burundi,108,2029,6841,7653,865,15360,0.498242188
11,Burundi,108,2030,6951,7931,890,15773,0.502821277
12,Burundi,108,2031,7066,8209,917,16192,0.506978755
13,Burundi,108,2032,7181,8488,948,16618,0.510771453
14,Burundi,108,2033,7296,8770,984,17049,0.514399672
15,Burundi,108,2034,7410,9053,1025,17487,0.517698862
16,Burundi,108,2035,7524,9337,1071,17932,0.520689271
17,Burundi,108,2036,7645,9616,1122,18383,0.523091987
18,Burundi,108,2037,7765,9896,1179,18841,0.525237514
19,Burundi,108,2038,7886,10177,1243,19305,0.527169127
20,Burundi,108,2039,8006,10457,1312,19776,0.528772249
21,Burundi,108,2040,8128,10737,1389,20253,0.530143682
22,Burundi,108,2041,8256,11012,1468,20736,0.531057099
23,Burundi,108,2042,8385,11287,1554,21226,0.53175351
24,Burundi,108,2043,8513,11563,1645,21721,0.532341973
25,Burundi,108,2044,8641,11840,1740,22222,0.532805328
26,Burundi,108,2045,8768,12121,1839,22728,0.533306934
27,Burundi,108,2046,8901,12402,1936,23239,0.533671845
28,Burundi,108,2047,9031,12689,2034,23754,0.534183716
29,Burundi,108,2048,9160,12980,2134,24274,0.534728516
30,Burundi,108,2049,9286,13277,2236,24798,0.535406081
31,Burundi,108,2050,9408,13580,2337,25325,0.536229023
32,Burundi,108,2051,9534,13889,2431,25854,0.537208943
33,Burundi,108,2052,9656,14207,2524,26386,0.53842947
34,Burundi,108,2053,9774,14531,2616,26921,0.539764496
35,Burundi,108,2054,9887,14862,2709,27457,0.541282733
36,Burundi,108,2055,9995,15195,2805,27995,0.542775496
37,Burundi,108,2056,10107,15531,2897,28535,0.544278956
38,Burundi,108,2057,10214,15869,2992,29075,0.545795357
39,Burundi,108,2058,10317,16208,3092,29617,0.547253267
40,Burundi,108,2059,10414,16547,3197,30158,0.548676968
41,Burundi,108,2060,10506,16885,3310,30701,0.549982085
42,Burundi,108,2061,10602,17219,3421,31243,0.551131453
43,Burundi,108,2062,10693,17550,3541,31784,0.552164611
44,Burundi,108,2063,10779,17878,3669,32326,0.55305327
45,Burundi,108,2064,10860,18202,3805,32867,0.553807771
46,Burundi,108,2065,10938,18520,3950,33408,0.554358238
47,Burundi,108,2066,11021,18834,4093,33949,0.554773336
48,Burundi,108,2067,11101,19142,4245,34489,0.555017542
49,Burundi,108,2068,11179,19445,4405,35028,0.555127327
50,Burundi,108,2069,11252,19743,4572,35568,0.555077598
51,Burundi,108,2070,11323,20038,4745,36107,0.554961642
52,Burundi,108,2071,11401,20331,4914,36645,0.55480966
53,Burundi,108,2072,11475,20622,5087,37183,0.554608289
54,Burundi,108,2073,11546,20912,5263,37721,0.554386151
55,Burundi,108,2074,11614,21199,5444,38256,0.554135299
56,Burundi,108,2075,11678,21484,5629,38790,0.553854086
57,Burundi,108,2076,11749,21765,5809,39322,0.553506943
58,Burundi,108,2077,11815,22044,5993,39852,0.553146643
59,Burundi,108,2078,11877,22321,6181,40380,0.55277365
60,Burundi,108,2079,11937,22596,6372,40905,0.552401907
61,Burundi,108,2080,11993,22867,6567,41427,0.551983006
62,Burundi,108,2081,12052,23138,6757,41947,0.55160083
63,Burundi,108,2082,12109,23405,6949,42464,0.551172758
64,Burundi,108,2083,12163,23670,7144,42978,0.550746894
65,Burundi,108,2084,12212,23932,7344,43487,0.550325385
66,Burundi,108,2085,12256,24190,7548,43993,0.549860205
67,Burundi,108,2086,12304,24447,7744,44495,0.549432521
68,Burundi,108,2087,12347,24701,7944,44992,0.549008713
69,Burundi,108,2088,12384,24952,8147,45484,0.548588515
70,Burundi,108,2089,12416,25198,8356,45970,0.548140091
71,Burundi,108,2090,12444,25437,8570,46451,0.547609309
